,address,lat,lon
403,"Cetore - Zadružni dom, Cetore 17a",45.50117,13.6525647
404,"Malija - stara šola, Malija 62",45.5041345,13.6383396
405,"Korte - ZDD - TD Šparžin, Korte 44",45.4883584,13.6567876
406,"Medgeneracijski center Izola, Livade 7a",45.5290713,13.6581278
407,Vrtec Semedela - Slavnik - Nova ulica 2/b,46.1199444,14.8153333
408,Vrtec Semedela - Slavnik - Nova ulica 2/b,46.1199444,14.8153333
409,Dom KS - Jurčičeva 2 ,46.1199444,14.8153333
410,Dom KS - Jurčičeva 2,46.1199444,14.8153333
411,OŠ Dušan Bordon - Rozmanova 21a,46.1199444,14.8153333
412,OŠ Dušan Bordon - Rozmanova 21a,46.1199444,14.8153333
413,OŠ Anton Ukmar - Pot v gaj 2,46.1199444,14.8153333
414,OŠ Anton Ukmar - Pot v gaj 2,46.1199444,14.8153333
415,OŠ Anton Ukmar - Pot v gaj 2,46.1199444,14.8153333
416,Obalni dom upokojencev Koper - Krožna cesta 5,46.1199444,14.8153333
417,Sedež KS Žusterna - Dolga reber 5,46.1199444,14.8153333
418,Sedež KS  - Oljčna pot 4,46.1199444,14.8153333
419,"Vrtec Semedela - Prisoje, Oljčna pot 63 ",45.5332928,13.7215667
420,"Vrtec Semedela - Prisoje, Oljčna pot 63",45.5332928,13.7215667
421,"Dnevni center Barčica, Prisoje 1 ",45.5350561,13.7273838
422,"Študentski dom, Prisoje 9",45.5340999,13.7248654
423,"Sedež KS, Kraljeva 17",46.09321,14.580459
424,"OŠ Anton Ukmar, Pot v gaj 2",45.5437572,13.7124575
425,"OŠ Anton Ukmar, Pot v gaj 2 ",45.5437572,13.7124575
426,"SEPŠ, Martinčev trg 3",45.5475829,13.7328258
427,"SEPŠ, Martinčev trg 3",45.5475829,13.7328258
428,"SEPŠ, Martinčev trg 3",45.5475829,13.7328258
429,"SEPŠ, Martinčev trg 3",45.5475829,13.7328258
430,"SEPŠ, Martinčev trg 3",45.5475829,13.7328258
431,"SEPŠ, Martinčev trg 3",45.5475829,13.7328258
432,"OŠ Dušan Bordon, Rozmanova 21a ",45.5378329,13.7242179
433,"Obalni dom upokojencev Koper, Krožna cesta 5",46.1613603,14.5938648
434,OŠV Ankaran,46.1199444,14.8153333
435,OŠV Ankaran,46.1199444,14.8153333
436,OŠV Ankaran,46.1199444,14.8153333
437,Krajevna skupnost Bertoki,46.1199444,14.8153333
438,OŠ Elvire Vatovec Prade,46.1199444,14.8153333
439,Krajevna skupnost Boršt,46.1199444,14.8153333
440,Krajevna skupnost Črni Kal ,46.1199444,14.8153333
441,Vrtec Rižana,46.1199444,14.8153333
442,Vaški dom Gabrovica ,46.1199444,14.8153333
443,Dvorana Osp ,46.1199444,14.8153333
444,Vaški dom Kastelec ,46.1199444,14.8153333
445,Stara šola Črnotiče ,46.1199444,14.8153333
446,Gasilski dom Dol ,46.1199444,14.8153333
